구분,1951. 3. 31.,1951. 5. 31.,1952. 12. 31.,1953. 4. 30.
계,"6,514,582","5,758,435","2,394,918","2,611,328"
서울,"128,400",-,"72,461","40,219"
경기,"1,729,516","1,661,312","723,374","804,030"
충북,"700,300","270,051","126,843","156,713"
충남,"760,477","802,572","291,152","275,932"
전북,"329,032","414,103","383,153","326,331"
전남,"523,125","577,737","130,153","156,929"
경북,"1,383,208","575,292","227,789","229,089"
경남,"558,496","521,414","342,574","440,415"
강원,"330,800","987,160","76,604","161,311"
제주,"71,228","148,794","20,815","20,359"
